,Year,Month,Day,HomeTeam,AwayTeam,HomeScore,AwayScore,Tournament,Location,RatingTeam1,RatingTeam2,MatchName,Date,TotalGoals,Result,NewResult,HigherRating,LowerRating,HigherTeam,LowerTeam,HigherTeamScoring,HigherTeamConceding,LowerTeamScoring,LowerTeamConceding,HigherTeamExpectedScoring,HigherTeamExpectedConceding,RatingTotal,RatingDifferenceAbsolute,RatingDifferenceRelative
461,2016,7,10,France,Portugal,0,1,European Championship,,1983,1960,France-Portugal,2016-07-10,1,0-1,0-1,1983,1960,France,Portugal,2.583610881722482,0.9767807754137323,1.5506046074616595,0.7231035715965759,1.860507310125906,-0.5738238320479272,3943,23,1.011734693877551
588,2016,9,6,Venezuela,Argentina,2,2,World Cup qualifier,,1694,2100,Venezuela-Argentina,2016-09-06,4,2-2,2-2,2100,1694,Argentina,Venezuela,2.2000950919313667,0.31843012118795966,0.8034294853698222,1.4619342740195593,0.7381608179118073,-0.4849993641818625,3794,406,1.2396694214876034
604,2016,10,6,Italy,Spain,1,1,World Cup qualifier,,1938,1963,Italy-Spain,2016-10-06,2,1-1,1-1,1963,1938,Spain,Italy,2.6744661521377697,0.7127038349939836,1.4809108888751847,1.0852139958380747,1.589252156299695,-0.7682070538812011,3901,25,1.0128998968008256
611,2016,10,6,Peru,Argentina,2,2,World Cup qualifier,,1824,2090,Peru-Argentina,2016-10-06,4,2-2,2-2,2090,1824,Argentina,Peru,2.1637141661256636,0.6241700991537852,1.36357695816247,1.0619563247978767,1.1017578413277869,-0.7394068590086847,3914,266,1.1458333333333333
641,2016,10,8,Germany,Czechia,3,0,World Cup qualifier,,2034,1707,Germany-Czechia,2016-10-08,3,3-0,3-0,2034,1707,Germany,Czechia,1.7635479654599198,0.7870378109108532,1.1254631271631546,0.912755282576792,0.8507926828831278,-0.3384253162523013,3741,327,1.1915641476274166
653,2016,10,9,Albania,Spain,0,2,World Cup qualifier,,1629,1976,Albania-Spain,2016-10-09,2,0-2,2-0,1976,1629,Spain,Albania,2.370017760839993,0.7649395013587139,1.1864886136695894,0.915240143043529,1.4547776177964642,-0.42154911231087544,3605,347,1.2130141190914672
658,2016,10,9,Iceland,Turkey,2,0,World Cup qualifier,,1779,1782,Iceland-Turkey,2016-10-09,2,2-0,0-2,1782,1779,Turkey,Iceland,1.1758521143546434,1.0608199785548167,1.9165443564212694,1.7341128678194053,-0.5582607534647619,-0.8557243778664527,3561,3,1.0016863406408094
682,2016,10,11,Chile,Peru,2,1,World Cup qualifier,,1958,1815,Chile-Peru,2016-10-11,3,2-1,2-1,1958,1815,Chile,Peru,1.289669001993228,1.29435249460183,1.4792902384965663,1.2325097202891717,0.057159281704056264,-0.18493774389473616,3773,143,1.0787878787878789
686,2016,10,11,Germany,Northern Ireland,2,0,World Cup qualifier,,2038,1648,Germany-Northern Ireland,2016-10-11,2,2-0,2-0,2038,1648,Germany,Northern Ireland,1.9883574262853887,0.6439400271088799,1.224920869968527,0.4522637084233772,1.5360937178620115,-0.5809808428596471,3686,390,1.2366504854368932
741,2016,11,10,Brazil,Argentina,3,0,World Cup qualifier,,2066,2027,Brazil-Argentina,2016-11-10,3,3-0,3-0,2066,2027,Brazil,Argentina,2.6071406670573167,0.671485796755955,1.7459574169932126,0.8971717192682362,1.7099689477890805,-1.0744716202372575,4093,39,1.0192402565367538
742,2016,11,10,Colombia,Chile,0,0,World Cup qualifier,,1947,1963,Colombia-Chile,2016-11-10,0,0-0,0-0,1963,1947,Chile,Colombia,1.4188200925399137,1.2408338592196793,1.5400682186256813,1.1351996743938182,0.2836204181460955,-0.29923435940600207,3910,16,1.0082177709296354
744,2016,11,10,Paraguay,Peru,1,4,World Cup qualifier,,1723,1855,Paraguay-Peru,2016-11-10,5,1-4,4-1,1855,1723,Peru,Paraguay,1.3921465587699178,1.372053407509322,0.8492804084007135,1.39625753131264,-0.004110972542722191,0.5227729991086085,3578,132,1.0766105629715612
746,2016,11,10,Uruguay,Ecuador,2,1,World Cup qualifier,,1933,1836,Uruguay-Ecuador,2016-11-10,3,2-1,2-1,1933,1836,Uruguay,Ecuador,2.0947415444594775,1.066744945869963,1.6875806627429157,1.572846052974247,0.5218954914852305,-0.6208357168729528,3769,97,1.0528322440087146
748,2016,11,10,Venezuela,Bolivia,5,0,World Cup qualifier,,1697,1612,Venezuela-Bolivia,2016-11-10,5,5-0,5-0,1697,1612,Venezuela,Bolivia,0.683471145630804,1.8540571643578199,1.012617195501645,2.3387212888769713,-1.6552501432461673,0.8414399688561749,3309,85,1.0527295285359801
